compl,accel,decel,pred,answer,loss
1,1,2,22.63945007,90,-67.36054993
1,1,2,22.63945007,91,-68.36054993
1,1,2,22.63945007,92,-69.36054993
1,1,2,22.63945007,93,-70.36054993
1,1,2,22.63945007,94,-71.36054993
1,1,2,22.63945007,95,-72.36054993
1,1,2,22.63945007,96,-73.36054993
1,1,2,22.63945007,97,-74.36054993
1,1,2,22.63945007,98,-75.36054993
1,1,2,22.63945007,99,-76.36054993
1,1,2,22.63945007,100,-77.36054993
1,1,3,23.02494621,1,22.02494621
1,1,3,23.02494621,2,21.02494621
1,1,3,23.02494621,3,20.02494621
1,1,3,23.02494621,4,19.02494621
1,1,3,23.02494621,5,18.02494621
1,1,3,23.02494621,6,17.02494621
1,1,3,23.02494621,7,16.02494621
1,1,3,23.02494621,8,15.02494621
1,1,3,23.02494621,9,14.02494621
1,1,3,23.02494621,10,13.02494621
1,1,3,23.02494621,11,12.02494621
1,1,3,23.02494621,12,11.02494621
1,1,3,23.02494621,13,10.02494621
1,1,3,23.02494621,14,9.024946213
1,1,3,23.02494621,15,8.024946213
1,1,3,23.02494621,16,7.024946213
1,1,3,23.02494621,17,6.024946213
1,1,3,23.02494621,18,5.024946213
1,1,3,23.02494621,19,4.024946213
1,1,3,23.02494621,20,3.024946213
1,1,3,23.02494621,21,2.024946213
1,1,3,23.02494621,22,1.024946213
1,1,3,23.02494621,23,0.024946213
1,1,3,23.02494621,24,-0.975053787
1,1,3,23.02494621,25,-1.975053787
1,1,3,23.02494621,26,-2.975053787
1,1,3,23.02494621,27,-3.975053787
1,1,3,23.02494621,28,-4.975053787
1,1,3,23.02494621,29,-5.975053787
1,1,3,23.02494621,30,-6.975053787
1,1,3,23.02494621,31,-7.975053787
1,1,3,23.02494621,32,-8.975053787
1,1,3,23.02494621,33,-9.975053787
1,1,3,23.02494621,34,-10.97505379
1,1,3,23.02494621,35,-11.97505379
1,1,3,23.02494621,36,-12.97505379
1,1,3,23.02494621,37,-13.97505379
1,1,3,23.02494621,38,-14.97505379
1,1,3,23.02494621,39,-15.97505379
1,1,3,23.02494621,40,-16.97505379
1,1,3,23.02494621,41,-17.97505379
1,1,3,23.02494621,42,-18.97505379
1,1,3,23.02494621,43,-19.97505379
1,1,3,23.02494621,44,-20.97505379
1,1,3,23.02494621,45,-21.97505379
1,1,3,23.02494621,46,-22.97505379
1,1,3,23.02494621,47,-23.97505379
1,1,3,23.02494621,48,-24.97505379
1,1,3,23.02494621,49,-25.97505379
1,1,3,23.02494621,50,-26.97505379
1,1,3,23.02494621,51,-27.97505379
1,1,3,23.02494621,52,-28.97505379
1,1,3,23.02494621,53,-29.97505379
1,1,3,23.02494621,54,-30.97505379
1,1,3,23.02494621,55,-31.97505379
1,1,3,23.02494621,56,-32.97505379
1,1,3,23.02494621,57,-33.97505379
1,1,3,23.02494621,58,-34.97505379
1,1,3,23.02494621,59,-35.97505379
1,1,3,23.02494621,60,-36.97505379
1,1,3,23.02494621,61,-37.97505379
1,1,3,23.02494621,62,-38.97505379
1,1,3,23.02494621,63,-39.97505379
1,1,3,23.02494621,64,-40.97505379
1,1,3,23.02494621,65,-41.97505379
1,1,3,23.02494621,66,-42.97505379
1,1,3,23.02494621,67,-43.97505379
1,1,3,23.02494621,68,-44.97505379
